iter	Passed	Remaining
0	5	1590
1	10	1571
2	15	1559
3	21	1557
4	26	1536
5	31	1525
6	36	1517
7	41	1505
8	46	1493
9	51	1496
10	56	1494
11	61	1485
12	67	1480
13	72	1477
14	77	1472
15	82	1467
16	87	1464
17	93	1459
18	98	1457
19	104	1456
20	109	1456
21	115	1457
22	121	1457
23	126	1453
24	131	1447
25	137	1445
26	142	1445
27	147	1437
28	152	1429
29	158	1423
30	163	1416
31	168	1411
32	173	1406
33	178	1399
34	183	1392
35	189	1386
36	194	1378
37	199	1372
38	204	1369
39	209	1363
40	215	1361
41	220	1355
42	225	1349
43	230	1343
44	236	1337
45	241	1331
46	246	1326
47	251	1321
48	257	1316
49	263	1316
50	268	1311
51	273	1305
52	279	1301
53	284	1294
54	289	1288
55	294	1282
56	299	1276
57	304	1272
58	310	1266
59	315	1261
60	320	1255
61	325	1250
62	330	1243
63	335	1237
64	340	1231
65	345	1225
66	350	1219
67	355	1213
68	360	1208
69	366	1204
70	372	1199
71	377	1193
72	382	1188
73	387	1182
74	392	1176
75	396	1170
76	402	1164
77	407	1159
78	413	1155
79	418	1150
80	423	1144
81	428	1137
82	433	1133
83	438	1127
84	443	1122
85	448	1116
86	453	1110
87	458	1105
88	464	1100
89	469	1094
90	474	1088
91	479	1083
92	484	1077
93	489	1071
94	494	1066
95	499	1060
96	504	1054
97	509	1049
98	514	1044
99	519	1038
100	524	1032
101	529	1026
102	533	1020
103	538	1014
104	543	1009
105	548	1003
106	553	998
107	558	993
108	563	987
109	568	982
110	573	976
111	578	970
112	583	965
113	588	959
114	593	954
115	597	948
116	603	943
117	608	938
118	613	933
119	618	928
120	623	923
121	629	917
122	634	912
123	638	906
124	643	901
125	649	896
126	654	891
127	659	885
128	664	880
129	669	874
130	674	869
131	678	864
132	683	858
133	688	853
134	694	848
135	699	843
136	704	838
137	709	833
138	715	828
139	719	822
140	724	817
141	729	811
142	734	806
143	739	801
144	745	796
145	750	791
146	755	786
147	760	780
148	765	775
149	770	770
150	775	765
151	780	760
152	785	755
153	790	749
154	795	744
155	800	739
156	806	734
157	811	729
158	816	723
159	821	718
160	826	713
161	832	708
162	837	703
163	842	698
164	847	693
165	852	687
166	857	682
167	862	677
168	867	672
169	872	667
170	877	661
171	882	656
172	887	651
173	892	646
174	897	641
175	903	636
176	908	631
177	913	626
178	918	620
179	923	615
180	928	610
181	933	605
182	954	610
183	959	604
184	964	599
185	969	593
186	973	588
187	978	583
188	983	577
189	988	572
190	993	567
191	998	561
192	1003	556
193	1008	551
194	1013	545
195	1018	540
196	1023	535
197	1028	530
198	1033	524
199	1039	519
200	1044	514
201	1049	509
202	1055	504
203	1059	498
204	1065	493
205	1070	488
206	1074	482
207	1079	477
208	1084	472
209	1089	467
210	1094	461
211	1100	456
212	1105	451
213	1110	446
214	1115	441
215	1120	435
216	1126	430
217	1131	425
218	1136	420
219	1142	415
220	1147	410
221	1152	405
222	1158	399
223	1162	394
224	1168	389
225	1173	384
226	1178	379
227	1183	373
228	1189	368
229	1194	363
230	1199	358
231	1204	353
232	1209	347
233	1214	342
234	1219	337
235	1224	332
236	1230	326
237	1235	321
238	1240	316
239	1245	311
240	1251	306
241	1256	301
242	1261	295
243	1266	290
244	1271	285
245	1291	283
246	1297	278
247	1302	273
248	1307	267
249	1312	262
250	1317	257
251	1322	251
252	1327	246
253	1333	241
254	1338	236
255	1343	230
256	1349	225
257	1354	220
258	1359	215
259	1364	209
260	1370	204
261	1374	199
262	1379	194
263	1385	188
264	1400	184
265	1405	179
266	1410	174
267	1415	168
268	1420	163
269	1424	158
270	1429	153
271	1435	147
272	1440	142
273	1445	137
274	1450	131
275	1455	126
276	1460	121
277	1465	115
278	1470	110
279	1475	105
280	1480	100
281	1485	94
282	1491	89
283	1496	84
284	1501	79
285	1506	73
286	1511	68
287	1516	63
288	1522	57
289	1527	52
290	1532	47
291	1537	42
292	1542	36
293	1547	31
294	1552	26
295	1557	21
296	1562	15
297	1567	10
298	1572	5
299	1577	0
